trait_id	accession_id	genetic_group	raw_row_count	status
145	10001	western_europe	1	unique_finite
145	10002	western_europe	1	unique_finite
145	10004	italy_balkan_caucasus	1	unique_finite
145	10005	central_europe	1	unique_finite
145	10006	italy_balkan_caucasus	1	unique_finite
145	10008	asia	1	unique_finite
145	10009	asia	1	unique_finite
145	10010	asia	1	unique_finite
145	10013	italy_balkan_caucasus	1	unique_finite
145	10014	italy_balkan_caucasus	1	unique_finite
145	10015	asia	1	unique_finite
145	10017	central_europe	1	unique_finite
145	10018	central_europe	1	unique_finite
145	1925	germany	1	unique_finite
145	2057	germany	1	unique_finite
145	5832	south_sweden	1	unique_finite
145	5837	central_europe	1	unique_finite
145	6008	central_europe	1	unique_finite
145	6019	south_sweden	1	unique_finite
145	6020	south_sweden	1	unique_finite
145	6039	admixed	1	unique_finite
145	6042	admixed	1	unique_finite
145	6046	north_sweden	1	unique_finite
145	6074	south_sweden	1	unique_finite
145	6085	south_sweden	1	unique_finite
145	6094	south_sweden	1	unique_finite
145	6096	south_sweden	1	unique_finite
145	6098	south_sweden	1	unique_finite
145	6100	south_sweden	1	unique_finite
145	6112	south_sweden	1	unique_finite
145	6119	south_sweden	1	unique_finite
145	6169	north_sweden	1	unique_finite
145	6188	south_sweden	1	unique_finite
145	6194	south_sweden	1	unique_finite
145	6202	south_sweden	1	unique_finite
145	6203	south_sweden	1	unique_finite
145	6242	south_sweden	1	unique_finite
145	6243	central_europe	1	unique_finite
145	6413	south_sweden	1	unique_finite
145	6744	germany	1	unique_finite
145	6897	western_europe	1	unique_finite
145	6898	admixed	1	unique_finite
145	6903	central_europe	1	unique_finite
145	6904	western_europe	1	unique_finite
145	6907	admixed	1	unique_finite
145	6909	germany	1	unique_finite
145	6911	relict	1	unique_finite
145	6913	north_sweden	1	unique_finite
145	6918	north_sweden	1	unique_finite
145	6919	central_europe	1	unique_finite
145	6924	western_europe	1	unique_finite
145	6926	western_europe	1	unique_finite
145	6932	admixed	1	unique_finite
145	6933	spain	1	unique_finite
145	6940	germany	1	unique_finite
145	6943	western_europe	1	unique_finite
