accession_a	accession_b	screen_hamming_distance	exact_hamming_distance	exact_primary_edge
470	476	0.000868	0.0008710592366032742	True
470	484	0.001152	0.0011094357218694505	False
470	504	0.00126	0.0012444503703985892	False
470	506	0.001724	0.0016349284202940649	False
470	544	0.001612	0.0016389433787219714	False
470	546	0.001732	0.0016534159032876813	False
470	680	0.0016	0.0015902036508297099	False
470	681	0.00144	0.001394684512503281	False
470	685	0.001576	0.0015848814966345779	False
470	728	0.00144	0.0014592039607284777	False
470	742	0.001092	0.001037539954672053	False
470	853	0.001668	0.0016298863794776241	False
470	854	0.001676	0.0015753576417590785	False
470	867	0.001464	0.0014279246334412984	False
470	868	0.00154	0.0015432379743358256	False
470	1612	0.001452	0.0014001000378246432	False
470	1622	0.0015	0.0014792787528680109	False
470	1651	0.001372	0.0013746097203637478	False
470	1652	0.001432	0.0014102774905837554	False
470	1676	0.001492	0.001431192622859362	False
470	1684	0.001468	0.001484600907063143	False
470	1739	0.001184	0.0010411814285950381	False
470	1741	0.001148	0.0011435161829435416	False
470	1756	0.0016	0.00152979253215865	False
470	1757	0.001484	0.0015030883900567593	False
470	1793	0.001532	0.0014920705971615737	False
470	1797	0.001432	0.001390109327317992	False
470	1819	0.00164	0.001541650665189909	False
470	1820	0.001636	0.001568728291796721	False
470	1834	0.001428	0.0014184007785657989	False
470	1942	0.001292	0.0012264297430361246	False
470	1943	0.001228	0.0011897348904275828	False
470	2017	0.001588	0.0015503341799293349	False
470	2031	0.001588	0.001557617127775305	False
470	2053	0.001648	0.0015992606500740572	False
470	2081	0.001128	0.0011590157898977856	False
470	2091	0.001092	0.0011255889267073073	False
470	2106	0.001096	0.001018678987173515	False
470	2108	0.00146	0.001447439198823449	False
470	2141	0.001048	0.001007567823152099	False
470	2159	0.001048	0.0010344587075064504	False
470	2166	0.001076	0.0010447295313917929	False
470	2191	0.001596	0.0015376357067620023	False
470	2212	0.00164	0.0015140128118257146	False
470	2239	0.001676	0.0015750775283803872	False
470	2240	0.001428	0.0013828263794720217	False
470	2285	0.001464	0.0014362346636758027	False
470	2286	0.001424	0.0014381020862004104	False
470	2370	0.001096	0.0010362327589048276	False
470	2412	0.001076	0.0010301636356998525	False
470	6739	0.00148	0.0014613514966317768	False
470	6740	0.00152	0.0015210156462929936	False
470	6749	0.001564	0.0014843207936844516	False
470	6750	0.001512	0.0014991668027550832	False
470	6805	0.001472	0.0015041154724452937	False
470	6806	0.001564	0.0015743305593705441	False
470	6814	0.00164	0.0015621923129605939	False
470	6927	0.001436	0.0013605106803029595	False
470	7248	0.001768	0.0016894571580126105	False
470	7358	0.0016	0.0015819869917214357	False
470	7359	0.001524	0.001462658692399002	False
470	7377	0.001984	0.0018926327286899313	False
470	7475	0.001736	0.0015967396296658368	False
470	7515	0.00186	0.0018539770824305512	False
470	7568	0.001572	0.0015417440363161394	False
470	7757	0.001604	0.0015578972411539962	False
470	7767	0.001512	0.0015242836357110571	False
470	8037	0.001636	0.0015296991610324194	False
470	8057	0.00144	0.0014048619652623929	False
470	8464	0.001568	0.001540716953927605	False
470	8483	0.001444	0.001458083507213713	False
470	8699	0.001156	0.0010648976946575563	False
470	8723	0.001088	0.0010452897581491752	False
476	484	0.001092	0.0010307238624572349	False
476	504	0.001216	0.0011638710884617658	False
476	506	0.001664	0.0015963661451609153	False
476	544	0.00164	0.0015977667120543712	False
476	546	0.001656	0.001619708926718512	False
476	680	0.001604	0.0015324069236931008	False
476	681	0.001388	0.0013079427362352519	False
476	685	0.001556	0.0015509877778129475	False
476	728	0.001476	0.0014269909221789946	False
476	742	0.000952	0.0009810504233026694	True
476	853	0.001608	0.0015767582086525342	False
476	854	0.001592	0.0014966457823468626	False
476	867	0.001356	0.0012689136054709505	False
476	868	0.00152	0.0014607912698743944	False
476	1612	0.001456	0.001310370385517242	False
476	1622	0.001432	0.0013583631443996604	False
476	1651	0.001408	0.0013705947619358412	False
476	1652	0.001324	0.0012831993877841996	False
476	1676	0.001488	0.0013956182237655848	False
476	1684	0.001416	0.001410931088467368	False
476	1739	0.0011	0.0010226005744751912	False
476	1741	0.001112	0.0010649910657837866	False
476	1756	0.001468	0.0014079432124279956	False
476	1757	0.00156	0.0015233499244487532	False
476	1793	0.001552	0.00148394730917953	False
476	1797	0.001404	0.001319800869266511	False
476	1819	0.001644	0.0014733963719154965	False
476	1820	0.001488	0.0014270842933052248	False
476	1834	0.00144	0.0013447309599700242	False
476	1942	0.001256	0.001194590188991563	False
476	1943	0.001096	0.0011033665986644754	False
476	2017	0.00156	0.0014837605669270693	False
476	2031	0.001496	0.0014888026077435103	False
476	2053	0.001628	0.001612239236620081	False
476	2081	0.00106	0.0010438891912557193	False
476	2091	0.00112	0.0011312845654073609	False
476	2106	0.001012	0.0009448224263252794	True
476	2108	0.001424	0.0014030879138640156	False
476	2141	0.000988	0.0009910411338093206	True
476	2159	0.001084	0.0010494914588295426	False
476	2166	0.001024	0.0009830112169535075	True
476	2191	0.0016	0.0014966457823468626	False
476	2212	0.001604	0.0014883357521123584	False
476	2239	0.001656	0.0014793721239942412	False
476	2240	0.001528	0.0013679803704013903	False
476	2285	0.001404	0.001356775835253744	False
476	2286	0.001404	0.0013928170899786731	False
476	2370	0.000988	0.0010282962131752448	False
476	2412	0.00108	0.0010123297505898487	False
476	6739	0.001468	0.001405608934272236	False
476	6740	0.001492	0.0014178405518084167	False
476	6749	0.00156	0.001476384247954869	False
476	6750	0.001444	0.0014047685941361626	False
476	6805	0.001524	0.001509250884387965	False
476	6806	0.001536	0.0015060762660961317	False
476	6814	0.001556	0.0015245637490897482	False
476	6927	0.001432	0.0012810518518809007	False
476	7160	0.00192	0.0018961808314866858	False
476	7248	0.001676	0.0016103718140954733	False
476	7358	0.001652	0.0016072905669298706	False
476	7359	0.001448	0.0013723688133342184	False
476	7377	0.001836	0.001751175472450896	False
476	7475	0.001684	0.001548653499657188	False
476	7515	0.001776	0.001732314504952358	False
476	7568	0.00156	0.0015082238019994306	False
476	7757	0.001536	0.0014511740438726646	False
476	7767	0.001524	0.0015396898715390708	False
476	8037	0.001576	0.001455842600184184	False
476	8057	0.001484	0.0013989795843098785	False
476	8464	0.001532	0.001496925895725554	False
476	8483	0.00152	0.001453695064280885	False
476	8699	0.001072	0.0010108358125701625	False
476	8723	0.001084	0.0010392206349442	False
484	504	0.001148	0.0011333387301844294	False
484	506	0.00162	0.00161924207108736	False
484	544	0.001684	0.001686189168594547	False
484	546	0.001684	0.0017352090098654998	False
484	680	0.001672	0.0016127994633774634	False
